Country;Country.Code;CO2_2006;CO2_2016;CH4_2006;CH4_2016
Singapour;SGP;37170;46160;2440;3940
Solomon Islands;SLB;330;360;330;400
Sierra Leone;SLE;630;960;4290;4800
El Salvador;SLV;7230;7170;4450;4030
Somalia;SOM;580;660;19220;19490
Republic of Serbia;SRB;53760;46240;11070;12400
South Sudan;SSD;0;1730;42430;33820
Sao Tomé-et-Principe;STP;80;120;20;30
Suriname;SUR;1530;2310;1010;1400
Slovakia;SVK;37880;31500;4830;4380
Slovenia;SVN;16310;13930;2380;2010
Sweden;SWE;48900;38790;6480;4770
Eswatini;SWZ;1010;1230;1460;1470
Seychelles;SYC;740;540;80;90
Syria;SYR;58830;26460;31470;12900
Chad;TCD;820;1020;33730;50260
Togo;TGO;1570;2300;3010;3370
Thailand;THA;218090;260720;79800;76800
Tajikistan;TJK;2670;5960;3570;5400
Turkmenistan;TKM;49730;72020;36540;50030
East Timor;TLS;200;690;5340;5790
Tonga;TON;150;150;90;100
"	
Trinidad and Tobago";TTO;22220;18230;1000;1260
Tunisia;TUN;24070;28990;6620;6290
Turkey;TUR;261090;374590;39900;44510
Tuvalu;TUV;10;10;10;10
Tanzania;TZA;6060;10920;36910;62490
Uganda;UGA;2600;5670;17360;32090
Ukraine;UKR;303990;201250;94840;64130
Uruguay;URY;6330;6530;22850;21690
United States;USA;5656580;4888640;653140;609200
Uzbekistan;UZB;121930;107350;118620;106520
Saint-Vincent-et-les Grenadines;VCT;250;270;70;70
Venezuela;VEN;149890;162060;73880;73640
Vietnam;VNM;95760;223870;78460;89260
Vanuatu;VUT;70;180;400;490
Samoa;WSM;190;300;270;300
Yemen;YEM;19410;10880;7200;8150
South Africa;ZAF;379560;425180;39670;44460
Zambia;ZMB;2180;5590;14480;17850
Zimbabwe;ZWE;9830;10990;10060;11380
