Country Name;Annee;CO2;CH4;TOTAL
Japan;2013;9.89;0.18;10.07
Korea;2013;11.85;0.53;12.38
Mexico;2013;3.95;1.03;4.98
Nigeria;2013;0.10;6.39;6.49
Pakistan;2013;0.76;0.69;1.45
Russia;2013;11.32;5.75;17.07
Saudi Arabia;2013;16.62;1.32;17.94
United Kingdom;2013;7.06;0.88;7.94
United States;2013;16.10;1.96;18.06
Koweit;2013;24.18;1.51;25.69
Qatar;2013;31.93;2.92;34.85
Argentina;2014;4.22;2.68;6.90
Australia;2014;15.76;5.76;21.52
Brazil;2014;2.50;2.05;4.55
Canada;2014;15.85;2.74;18.59
China;2014;7.25;0.88;8.13
France;2014;4.59;0.93;5.52
Germany;2014;9.11;0.71;9.82
India;2014;1.65;0.50;2.15
Indonesia;2014;1.92;1.04;2.96
Iran;2014;7.88;1.80;9.68
Japan;2014;9.58;0.18;9.76
Korea;2014;11.55;0.52;12.07
Mexico;2014;3.81;1.09;4.90
Nigeria;2014;0.10;6.29;6.39
Pakistan;2014;0.79;0.70;1.49
Russia;2014;11.17;5.77;16.94
Saudi Arabia;2014;17.36;1.32;18.68
United Kingdom;2014;6.42;0.83;7.25
United States;2014;16.03;1.95;17.98
Koweit;2014;22.64;1.51;24.15
Qatar;2014;32.69;2.92;35.61
Argentina;2015;4.31;2.65;6.96
Australia;2015;15.79;5.60;21.39
Brazil;2015;2.35;2.07;4.42
Canada;2015;15.65;2.66;18.31
China;2015;7.17;0.90;8.07
France;2015;4.67;0.92;5.59
Germany;2015;9.09;0.70;9.79
India;2015;1.64;0.50;2.14
Indonesia;2015;1.90;1.04;2.94
Iran;2015;7.67;1.77;9.44
Japan;2015;9.29;0.17;9.46
Korea;2015;11.89;0.51;12.40
Mexico;2015;3.88;1.15;5.03
Nigeria;2015;0.10;6.17;6.27
Pakistan;2015;0.82;0.70;1.52
Russia;2015;10.81;5.80;16.61
Saudi Arabia;2015;17.69;1.32;19.01
United Kingdom;2015;6.15;0.80;6.95
United States;2015;15.54;1.92;17.46
Koweit;2015;22.95;1.50;24.46
Qatar;2015;32.47;3.00;35.47
Argentina;2016;4.23;2.65;6.88
Australia;2016;15.87;4.89;20.76
Brazil;2016;2.14;2.06;4.20
Canada;2016;15.24;2.51;17.75
China;2016;7.12;0.90;8.02
France;2016;4.69;0.90;5.59
Germany;2016;9.07;0.67;9.74
India;2016;1.65;0.50;2.15
Indonesia;2016;1.89;1.06;2.95
Iran;2016;7.61;1.80;9.41
Japan;2016;9.22;0.17;9.39
Korea;2016;12.00;0.50;12.50
Mexico;2016;3.89;1.15;5.04
Nigeria;2016;0.09;6.10;6.19
Pakistan;2016;0.89;0.70;1.59
Russia;2016;10.61;5.91;16.52
Saudi Arabia;2016;17.16;1.31;18.47
United Kingdom;2016;5.77;0.79;6.56
United States;2016;15.13;1.89;17.02
Koweit;2016;22.71;1.48;24.20
Qatar;2016;32.13;2.97;35.10
Argentina;2017;4.09;2.67;6.76
Australia;2017;15.74;5.68;21.42
Brazil;2017;2.16;2.03;4.19
Canada;2017;15.39;2.53;17.92
China;2017;7.23;0.89;8.12
France;2017;4.73;0.88;5.61
Germany;2017;8.86;0.66;9.52
India;2017;1.72;0.49;2.21
Indonesia;2017;2.01;1.07;3.08
Iran;2017;7.69;1.81;9.50
Japan;2017;9.09;0.17;9.26
Korea;2017;12.18;0.50;12.68
Mexico;2017;3.78;1.15;4.93
Nigeria;2017;0.10;5.87;5.97
Pakistan;2017;0.95;0.71;1.66
Russia;2017;10.78;5.88;16.66
Saudi Arabia;2017;16.33;1.31;17.64
United Kingdom;2017;5.55;0.78;6.33
United States;2017;14.81;1.89;16.70
Koweit;2017;22.12;1.47;23.59
Qatar;2017;32.18;2.97;35.14
Argentina;2018;3.99;2.65;6.64
Australia;2018;15.48;5.57;21.05
Brazil;2018;2.04;1.99;4.03
Canada;2018;15.50;2.54;18.04
China;2018;7.41;0.89;8.30
France;2018;4.62;0.87;5.49
Germany;2018;8.56;0.64;9.20
India;2018;1.80;0.49;2.29
Indonesia;2018;2.18;1.07;3.25
Iran;2018;7.69;1.83;9.52
Japan;2018;8.74;0.17;8.91
Korea;2018;12.22;0.49;12.71
Mexico;2018;3.74;1.15;4.89
Nigeria;2018;0.10;5.70;5.80
Pakistan;2018;0.98;0.71;1.69
Russia;2018;11.13;5.88;17.01
Saudi Arabia;2018;15.27;1.31;16.58
United Kingdom;2018;5.40;0.77;6.17
United States;2018;15.24;1.90;17.14
Koweit;2018;21.62;1.47;23.09
Qatar;2018;32.42;2.92;35.33
